ID,SIDE,INSTRUMENT,STATUS,PX_INIT,PX_FILL,VOLUME_INIT,VOLUME_FILL,NOTE,TAGS,DATE
0x10003,SELL,AUDJPY,INPROCESS,80.00315,0,433000,0,NOTE 9,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:00:01.019
0x10003,SELL,AUDJPY,FILL,80.00315,80.00349,433000,433000,NOTE 9,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:00:03.235
0x10003,SELL,AUDJPY,DONE,80.00315,80.00349,433000,433000,NOTE 9,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:00:11.827
0x60009,SELL,AUDEUR,INPROCESS,0.62963,0,632000,0,NOTE 4,"DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:00:20.931
0x60009,SELL,AUDEUR,FILL,0.62963,0.62897,632000,632000,NOTE 4,"DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:00:21.179
0x60009,SELL,AUDEUR,DONE,0.62963,0.62897,632000,632000,NOTE 4,"DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:00:22.155
0x1b001b,SELL,GBPJPY,INPROCESS,143.23002,0,688000,0,NOTE 7,"DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE",01.02.2021 00:00:30.867
0x1b001b,SELL,GBPJPY,FILL,143.23002,143.23018,688000,688000,NOTE 7,"DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE",01.02.2021 00:00:34.411
0x1b001b,SELL,GBPJPY,DONE,143.23002,143.23018,688000,688000,NOTE 7,"DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE",01.02.2021 00:00:43.939
0x6c0051,BUY,EURNZD,INPROCESS,1.68618,0,944000,0,NOTE 5,REGULAR TRADE,01.02.2021 00:00:45.275
0x6c0051,BUY,EURNZD,PARTIALFILL,1.68618,1.68652,944000,431000,NOTE 5,REGULAR TRADE,01.02.2021 00:00:48.307
0x6c0051,BUY,EURNZD,DONE,1.68618,1.68652,944000,431000,NOTE 5,REGULAR TRADE,01.02.2021 00:00:54.691
0x19500f3,SELL,EURNZD,INPROCESS,1.68501,0,144000,0,NOTE 5,"TRADE, REGULAR TRADE, SPECIAL TRADE",01.02.2021 00:00:56.299
0x19500f3,SELL,EURNZD,CANCEL,1.68501,0,144000,0,NOTE 5,"TRADE, REGULAR TRADE, SPECIAL TRADE",01.02.2021 00:01:01.595
0x19500f3,SELL,EURNZD,DONE,1.68501,0,144000,0,NOTE 5,"TRADE, REGULAR TRADE, SPECIAL TRADE",01.02.2021 00:01:02.147
0x5b202d9,SELL,GBPCAD,INPROCESS,1.44401,0,536000,0,NOTE 10,"TRADE, DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:01:09.771
0x5b202d9,SELL,GBPCAD,CANCEL,1.44401,0,536000,0,NOTE 10,"TRADE, DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:01:11.259
0x5b202d9,SELL,GBPCAD,DONE,1.44401,0,536000,0,NOTE 10,"TRADE, DISTANCE TRADE, REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:01:12.115
0x13ef088b,BUY,EURGBP,INPROCESS,0.88491,0,496000,0,NOTE 1,"TRADE, REGULAR TRADE, TRANSFER",01.02.2021 00:01:15.387
0x13ef088b,BUY,EURGBP,PARTIALFILL,0.88491,0.88395,496000,101000,NOTE 1,"TRADE, REGULAR TRADE, TRANSFER",01.02.2021 00:01:21.651
0x13ef088b,BUY,EURGBP,DONE,0.88491,0.88395,496000,101000,NOTE 1,"TRADE, REGULAR TRADE, TRANSFER",01.02.2021 00:01:29.819
0x445819a1,SELL,EURJPY,INPROCESS,124.88801,0,136000,0,NOTE 6,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:01:37.835
0x445819a1,SELL,EURJPY,CANCEL,124.88801,0,136000,0,NOTE 6,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:01:39.027
0x445819a1,SELL,EURJPY,DONE,124.88801,0,136000,0,NOTE 6,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:01:42.331
0xe6a94ce3,SELL,EURRUB,INPROCESS,91.31132,0,192000,0,NOTE 11,REGULAR TRADE,01.02.2021 00:01:51.979
0xe6a94ce3,SELL,EURRUB,PARTIALFILL,91.31132,91.3107,192000,77000,NOTE 11,REGULAR TRADE,01.02.2021 00:01:58.755
0xe6a94ce3,SELL,EURRUB,DONE,91.31132,91.3107,192000,77000,NOTE 11,REGULAR TRADE,01.02.2021 00:02:04.067
0xdee6a9,SELL,AUDJPY,INPROCESS,80.00315,0,24000,0,NOTE 9,"DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:02:12.811
0xdee6a9,SELL,AUDJPY,FILL,80.00315,80.00244,24000,24000,NOTE 9,"DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:02:19.739
0xdee6a9,SELL,AUDJPY,DONE,80.00315,80.00244,24000,24000,NOTE 9,"DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:02:27.875
0xe945b3fb,BUY,AUDEUR,INPROCESS,0.629698,0,888000,0,NOTE 4,"REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:02:32.507
0xe945b3fb,BUY,AUDEUR,FILL,0.629698,0.62985,888000,888000,NOTE 4,"REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:02:41.091
0xe945b3fb,BUY,AUDEUR,DONE,0.629698,0.62985,888000,888000,NOTE 4,"REGULAR TRADE, SPECIAL TRADE, TRANSFER",01.02.2021 00:02:50.099
0x6fcc1bf1,BUY,EURGBP,INPROCESS,0.88491,0,96000,0,NOTE 1,,01.02.2021 00:02:51.195
0x6fcc1bf1,BUY,EURGBP,CANCEL,0.88491,0,96000,0,NOTE 1,,01.02.2021 00:02:54.347
0x6fcc1bf1,BUY,EURGBP,DONE,0.88491,0,96000,0,NOTE 1,,01.02.2021 00:02:55.171
0x6b5553d3,SELL,GBPCAD,INPROCESS,1.44401,0,832000,0,NOTE 10,TRANSFER,01.02.2021 00:03:00.059
0x6b5553d3,SELL,GBPCAD,PARTIALFILL,1.44401,1.44325,832000,605000,NOTE 10,TRANSFER,01.02.2021 00:03:07.715
0x6b5553d3,SELL,GBPCAD,DONE,1.44401,1.44325,832000,605000,NOTE 10,TRANSFER,01.02.2021 00:03:12.587
0x95d2fb79,SELL,EURCAD,INPROCESS,1.41313,0,840000,0,NOTE 3,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:03:17.051
0x95d2fb79,SELL,EURCAD,FILL,1.41313,1.4133,840000,840000,NOTE 3,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:03:23.619
0x95d2fb79,SELL,EURCAD,DONE,1.41313,1.4133,840000,840000,NOTE 3,"TRADE, DISTANCE TRADE, SPECIAL TRADE",01.02.2021 00:03:27.435
