id,side,instrument,status,px_init,px_fill,volume_init,volume_fill,note,tags,date
0x102c386bbc5,BUY,EURCHF,IN_PROCESS,1.88491,1.88491,10800,4481,NOTE4,[<OrderTag.REGULAR_TRADE: 3>],2022-01-01 00:00:14.750000+00:00
0x102c386bbc5,BUY,EURCHF,PARTIAL_FILL,1.88491,1.88491,10800,4481,NOTE4,[<OrderTag.REGULAR_TRADE: 3>],2022-01-01 00:00:14.764000+00:00
0x102c386bbc5,BUY,EURCHF,DONE,1.88491,1.88491,10800,4481,NOTE4,[<OrderTag.REGULAR_TRADE: 3>],2022-01-01 00:00:14.778000+00:00
0x1a2f4a85579,SELL,EURRUB,IN_PROCESS,91.31132,0,6400,0,NOTE4,"[<OrderTag.TRANSFER: 5>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.SPECIAL_TRADE: 4>]",2022-01-01 00:00:21.341000+00:00
0x1a2f4a85579,SELL,EURRUB,CANCEL,91.31132,0,6400,0,NOTE4,"[<OrderTag.TRANSFER: 5>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.SPECIAL_TRADE: 4>]",2022-01-01 00:00:21.362000+00:00
0x1a2f4a85579,SELL,EURRUB,DONE,91.31132,0,6400,0,NOTE4,"[<OrderTag.TRANSFER: 5>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.SPECIAL_TRADE: 4>]",2022-01-01 00:00:21.383000+00:00
0x5ed961cb678,SELL,EURCAD,IN_PROCESS,1.41313,1.74895,8800,1985,NOTE5,"[<OrderTag.SPECIAL_TRADE: 4>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.REGULAR_TRADE: 3>]",2022-01-01 00:00:25.929000+00:00
0x5ed961cb678,SELL,EURCAD,PARTIAL_FILL,1.41313,1.74895,8800,1985,NOTE5,"[<OrderTag.SPECIAL_TRADE: 4>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.REGULAR_TRADE: 3>]",2022-01-01 00:00:25.954000+00:00
0x5ed961cb678,SELL,EURCAD,DONE,1.41313,1.74895,8800,1985,NOTE5,"[<OrderTag.SPECIAL_TRADE: 4>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.REGULAR_TRADE: 3>]",2022-01-01 00:00:25.979000+00:00
0x1b37699d562,SELL,EURGBP,IN_PROCESS,0.88473,0.88473,10300,5609,NOTE7,"[<OrderTag.DISTANCE_TRADE: 2>, <OrderTag.TRADE: 1>, <OrderTag.DISTANCE_TRADE: 2>]",2022-01-01 00:00:31.358000+00:00
0x1b37699d562,SELL,EURGBP,PARTIAL_FILL,0.88473,0.88473,10300,5609,NOTE7,"[<OrderTag.DISTANCE_TRADE: 2>, <OrderTag.TRADE: 1>, <OrderTag.DISTANCE_TRADE: 2>]",2022-01-01 00:00:31.389000+00:00
0x1b37699d562,SELL,EURGBP,DONE,0.88473,0.88473,10300,5609,NOTE7,"[<OrderTag.DISTANCE_TRADE: 2>, <OrderTag.TRADE: 1>, <OrderTag.DISTANCE_TRADE: 2>]",2022-01-01 00:00:31.420000+00:00
0x64ec71dbacf,SELL,AUDJPY,IN_PROCESS,80.00315,0,2300,0,NOTE5,"[<OrderTag.TRANSFER: 5>, <OrderTag.REGULAR_TRADE: 3>]",2022-01-01 00:00:32.430000+00:00
0x64ec71dbacf,SELL,AUDJPY,CANCEL,80.00315,0,2300,0,NOTE5,"[<OrderTag.TRANSFER: 5>, <OrderTag.REGULAR_TRADE: 3>]",2022-01-01 00:00:32.462000+00:00
0x64ec71dbacf,SELL,AUDJPY,DONE,80.00315,0,2300,0,NOTE5,"[<OrderTag.TRANSFER: 5>, <OrderTag.REGULAR_TRADE: 3>]",2022-01-01 00:00:32.494000+00:00
0x91327c57a81,BUY,EURCHF,IN_PROCESS,1.88491,0,11300,0,NOTE9,"[<OrderTag.SPECIAL_TRADE: 4>, <OrderTag.DISTANCE_TRADE: 2>, <OrderTag.SPECIAL_TRADE: 4>, <OrderTag.TRANSFER: 5>, <OrderTag.DISTANCE_TRADE: 2>]",2022-01-01 00:00:47.144000+00:00
